"순번","시군명","약국명","도로명주소","전화번호","운영시간","근무일","근무주기","자료출처","공개여부","작성일","갱신주기"
"1","전주시","문화당약국","전주시 덕진구 가리내로 30","063-277-3567","08:00~20:00","일요일","4주연속","보건의료과","Y","2015-10","수시"
"2","전주시","인삼약국","전주시 덕진구 조경단로 5 (금암동)","063-252-8822","18:00~22:00","일요일","4주연속","보건의료과","Y","2015-10","수시"
"3","전주시","터미널약국","전주시 덕진구 전주천동로 464 (금암동)","063-252-5780","09:00~23:00","일요일","4주연속","보건의료과","Y","2015-10","수시"
"4","전주시","터미널큰사랑약국","전주시 덕진구 전주천동로 475 (금암동)","063-252-4422","14:00~22:00","일요일","4주연속","보건의료과","Y","2015-10","수시"
"5","전주시","평화약국","전주시 완산구 기린대로 1-1 (교동)","063-277-5290","11:00~20:00","일요일","4주연속","보건의료과","Y","2015-10","수시"
"6","전주시","태창약국","전주시 덕진구 공북로 29 (진북동)","063-273-2345","09:00~17:00","일요일","2주/4주","보건의료과","Y","2015-10","수시"
"7","전주시","덕수약국","전주시 덕진구 덕진광장로 8 (덕진동1가)","063-252-0683","09:00~21:30","일요일","4주연속","보건의료과","Y","2015-10","수시"
"8","전주시","메디칼약국","전주시 덕진구 붓내3길 24 (송천동2가)","063-255-9200","17:00~21:00","일요일","2주","보건의료과","Y","2015-10","수시"
"9","전주시","송천우리약국","전주시 덕진구 송천중앙로 207 (송천동1가)","063-273-3677","09:00~17:00","일요일","4주연속","보건의료과","Y","2015-10","수시"
"10","전주시","원약국","전주시 덕진구 기린대로 471-1 (덕진동1가)","063-254-7572","17:00~22:00","일요일","1주/3주","보건의료과","Y","2015-10","수시"
"11","전주시","전주종로약국","전주시 덕진구 송천중앙로 167 (송천동1가)","063-252-7331","09:30~19:00","일요일","4주연속","보건의료과","Y","2015-10","수시"
"12","전주시","정직한종로약국","전주시 덕진구 송천중앙로 82 (송천동1가)","063-254-7585","10:00~22:00","일요일","1주/3주","보건의료과","Y","2015-10","수시"
"13","전주시","회생약국","전주시 덕진구 송천2길 6 (송천동1가)","063-277-3152","09:00~20:00","일요일","4주연속","보건의료과","Y","2015-10","수시"
"14","전주시","모래내녹십자","전주시 덕진구 안덕원로 159","063-255-4004","09:30~20:30","일요일","4주연속","보건의료과","Y","2015-10","수시"
"15","전주시","모래내태평양약국","전주시 덕진구 안덕원로 156 (인후동2가)","063-274-1188","10:00~19:00","일요일","1주/3주","보건의료과","Y","2015-10","수시"
"16","전주시","새평화약국","전주시 덕진구 안덕원로 261 (인후동1가)","063-241-5094","09:30~22:00","일요일","4주연속","보건의료과","Y","2015-10","수시"
